player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Kyle",jclMM_b-US,2025-02-19T06:19:55.349Z,,2000,,4845,2845
"Kyle",GnKjEIhrHH,2025-02-19T05:06:52.911Z,2025-02-19T06:05:02.342Z,2000,6140,0,4140
"Nick",23ejw2m6D-,2025-02-19T05:00:00.952Z,,2000,,2915,915
"Mond",VnzuRuUJp5,2025-02-19T04:57:03.189Z,2025-02-19T05:54:20.306Z,3270,4811,0,1541
"Eli",hSyvY7wv9b,2025-02-19T04:40:25.184Z,2025-02-19T06:53:27.650Z,2000,6126,0,4126
"Kyle",GnKjEIhrHH,2025-02-19T04:00:54.183Z,2025-02-19T04:55:23.319Z,2000,0,0,-2000
"ieff",FMYFFNvVDL,2025-02-19T03:56:47.076Z,2025-02-19T06:35:43.745Z,2000,294,0,-1706
"glenny",O4o2WcWz3Z,2025-02-19T03:55:21.032Z,2025-02-19T06:26:36.030Z,4600,2382,0,-2218
"Mond",VnzuRuUJp5,2025-02-19T03:55:21.028Z,2025-02-19T04:39:36.726Z,2000,3270,0,1270
"The Senate",mNthJN1uv8,2025-02-19T03:54:26.665Z,2025-02-19T05:00:00.944Z,3300,0,0,-3300
"Kyle",GnKjEIhrHH,2025-02-19T03:50:17.547Z,2025-02-19T04:00:21.855Z,2000,0,0,-2000
"Nick",23ejw2m6D-,2025-02-19T03:50:17.526Z,2025-02-19T04:58:36.120Z,2000,0,0,-2000
"larry",0D790GTBvz,2025-02-19T03:50:17.523Z,2025-02-19T05:14:27.714Z,2000,0,0,-2000
"Gob",gEuJUHOUqE,2025-02-19T03:50:17.533Z,,6900,,3248,-3652
"joshy",Z_WOxDxS2G,2025-02-19T03:50:17.529Z,,7000,,3123,-3877
"edwin",9M0NBGM9an,2025-02-19T03:50:17.518Z,,2000,2000,7916,7916
